FL_CKLIST_POSM,ID_MAQUINA_GRUPO,DS_DADOS_TECNICOS,DS_MODELO,DS_SERIE,NR_ANO_FABRICACAO,NR_POTENCIA,NR_TENSAO,DS_ATIVO_FISCAL,ST_MAQUINA,ID_CLIENTE,CD_MAQUINA,DS_MAQUINA,ID_FABRICANTE
N,36,,,,,,, ,A,1,RESTAURANTE,RESTAURANTE,44
N,37,,,,,,, ,A,1,OUTROS TI,OUTROS DISPOSITIVOS TI,44
S,13,,,,,,, ,A,1,BOBINADOR W1,BOBINADOR 1 LINHA WELEX,113
S,13,,,,,,, ,A,1,BOBINADOR W2,BOBINADOR 2 LINHA WELEX,113
S,13,,,,,,, ,A,1,BOBINADOR W3,BOBINADOR 3 LINHA WELEX,113
S,13,,,,,,, ,A,1,BOBINADOR W4,BOBINADOR 4 LINHA WELEX,113
S,15,"TALHA EETRICA (BOBINADOR DS)
MODELO: RC 1206
AF.7694
CLIMBER
2 TONELADAS
LOCALIZAÇÃO: SOBRE A PONTE DO VIRADOR",,,2009,4,220, ,A,1,TALHA_BOBIN_DS,TALHA ELÉTRICA BOBINADOR DS Nº 6956,121
S,15,"TALHA ELÉTRICA VIRADOR DS
MODELO: RC 1206
AF.7695
FABRICANTE: CLIMBER
2 TONELADAS
LOCALIZAÇÃO: SOBRE A PONTE DO VIRADOR",,,2009,4,220, ,A,1,TALHA_VIRAD_DS,TALHA ELÉTRICA VIRADOR DS Nº 6957,121
S,15,"TALHA ELÉTRICA ALIMENTADOR MP 01
MOD: RC 1154
FABRICANTE: CLIMBER 
AF.6182
1,5 TONELADA
LOCALIZAÇÃO: ABASTECIMENTO EXTRUSÃO",,,,,, ,A,1,TALHA_ALIM_MP01,TALHA ELÉTRICA ALIMENTADOR MP 01 Nº 5961,121
S,15,"TALHA ELÉTRICA ALIMENTADOR MP 02
MODELO: RC 1154
AF.6183
1,5 TONELADA
LOCALIZAÇÃO: ABASTECIMENTO EXTRUSÃO",,,,,, ,A,1,TALHA_ALIM_MP02,TALHA ELÉTRICA ALIMENTADOR MP 02 Nº 5962,121
S,15,"TALHA ELÉTRICA ALIMENTADOR MP 03
MODELO: RC 1154
AF.6184
1,5 TONELADA
LOCALIZAÇÃO: ABASTECIMENTO EXTRUSÃO",,,,,, ,A,1,TALHA_ALIM_MP03,TALHA ELÉTRICA ALIMENTADOR MP 03 Nº 5963,121
S,15,"TALHA ELÉTRICA DS
MODELO: RC 1104
AF: 9442
FABRICANTE: CLIMBER
1 TONELADA
LOCALIZAÇÃO: ARÉA DE ABASTECIMENTO DA EXTRUSÃO",,,,,, ,A,1,TALHAMOD:RC1104,TALHA ELÉTRICA DS MODELO: RC1104 Nº 8582,121
S,15,"TALHA ELÉTRICA DS
MODELO: RC1105
AF: 9446
FABRICANTE: CLIMBER
1 TONELADA
LOCALIZAÇÃO: ÁREA DE ABASTECIMENTO DA EXTRUSÃO",,,,,, ,A,1,TALHAMOD:RC1105,TALHA ELÉTRICA DS MODELO: RC1105 Nº 8583,121
