ID_CLIENTE,CD_MAQUINA,DS_OBS,DT_CHECKLIST,ST_CHECKLIST
1,ALIM_MP03,Importado Pelo Sistema,2011-08-26T17:12:47,A
1,ALIM_MP04,Importado Pelo Sistema,2011-08-26T17:12:47,A
1,ALIM_MP05,Importado Pelo Sistema,2011-08-26T17:12:47,A
1,AR COND. ACJ 08,,2016-10-31T10:21:53,A
1,AR COND. ACJ 09,,2016-10-31T10:21:53,A
1,AR COND. ACJ 10,,2016-10-31T10:21:53,A
1,AR COND. SC 01,,2016-10-27T11:08:19,A
1,AR COND. SC 02,,2016-10-27T11:08:19,A
1,AR COND. SC 03,,2016-10-27T11:08:19,A
1,AR COND. SC 04,,2016-10-27T11:08:19,A
1,AR COND. SC 05,,2016-10-27T11:08:19,A
1,AR COND. SC 06,,2016-10-27T11:08:19,A
1,AR COND. SC 07,,2016-10-27T11:08:19,A
1,AR COND. SC 08,,2016-10-27T11:08:19,A
1,AR COND. SC 09,,2016-10-27T11:08:19,A
1,AR COND. SC 10,,2016-10-27T11:08:19,A
1,AR COND. SC 11,,2016-10-27T11:08:19,A
1,AR COND. SC 12,,2016-10-27T11:08:19,A
1,AR COND. SC 13,,2016-10-27T11:08:19,A
1,AR COND. SC 14,,2016-10-27T11:08:19,A
1,AR COND. SC 15,,2016-10-27T11:08:19,A
1,AR COND. SC 16,,2016-10-27T11:08:19,A
1,AR COND. SC 17,,2016-10-27T11:08:19,A
1,AR COND. SC 18,,2016-10-27T11:08:19,A
1,AR COND. SC 19,,2016-10-27T11:08:19,A
1,AR COND. SC 21,,2016-10-27T11:08:19,A
1,AR COND. SC 23,,2016-10-27T11:08:19,A
1,AR COND. SC 24,,2016-10-27T11:08:19,A
1,AR COND. SC 34,,2016-10-27T11:08:19,A
1,AR COND. SC 35,,2016-10-27T11:08:19,A
1,AR COND. SC 36,,2016-10-27T11:08:19,A
1,AR COND. SC 37,,2016-10-27T11:08:19,A
1,AR COND. SC 38,,2016-10-27T11:08:19,A
1,AR COND. SC 48,,2016-10-27T11:08:19,A
1,AR COND. SC 49,,2016-10-27T11:08:19,A
1,AR COND. SC 50,,2016-10-27T11:08:19,A
1,AR COND. SC 51,,2016-10-27T11:08:19,A
1,AR COND. SC 52,,2016-10-27T11:08:19,A
