CD_TIPO,FL_PARADO,FL_PROGRAMAR,ID_CLIENTE,CD_MAQUINA,SQ_CHECKITEM,NR_ORDEM,DS_INSPECAO,DS_OBS,DT_CKECKITEM,DT_INICIO,DT_TERMINO,TP_RECORRENCIA,QT_RECORRENCIA,ST_CHECKITEM,ID_CKOS
PRE,N,S,1,LINHA WELEX,6689,92,CO. 01 / 02 - Verificar o aperto das conexões e realizar limpeza interna do painel elétrico.,,2011-11-25T00:00:00,,,RAN,,A,17
PRE,N,S,1,LINHA WELEX,6690,93,CO. 01 / 02 - Substituição da bomba de circulação de água da bomba de gaseficação,,2011-11-25T00:00:00,,,RAN,,A,18
PRE,N,S,1,LINHA WELEX,6692,94,CO. 03 -Verificar o aperto das conexões e realizar limpeza interna do painel elétrico,,2011-11-25T00:00:00,,,RAN,,A,19
PRE,N,S,1,LINHA WELEX,6693,95,EXT. W - Trocar o óleo da caixa de redução da bomba de processo.,MERP 409300.04294,2011-11-25T00:00:00,,,RAN,,A,19
PRE,N,S,1,LINHA WELEX,6694,96,EXT. W - Verificação e lubrificação do rolamento do motor elétrico da bomba de processo.,MERP 409300.15750,2011-11-25T00:00:00,,,RAN,,A,20
PRE,N,S,1,LINHA WELEX,6695,97,EXT. W - Verificar desgastes e alinhamento do acoplamento do motor da rosca.,,2011-11-25T00:00:00,,,RAN,,A,20
PRE,N,S,1,LINHA WELEX,6696,98,EXT. W - Lubrificação do acoplamento do motor da rosca,MERP 409300.15750,2011-11-25T00:00:00,,,RAN,,A,21
PRE,N,S,1,LINHA WELEX,6697,99,EXT. W - Verificar o aperto das conexões e realizar limpeza interna do painel elétrico.,,2011-11-25T00:00:00,,,RAN,,A,21
PRE,N,S,1,NISHI,126,1,Lubrificar todos os mancais e rolamentos,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
PRE,N,S,1,NISHI,127,2,Verificar a tensão das correntes,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
PRE,N,S,1,NISHI,128,3,Lubrificar as correntes,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
PRE,N,S,1,NISHI,129,4,Verificar o nível do óleo hidráulico da unidade hidráulica,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
PRE,N,S,1,NISHI,130,5,Verificar vazamentos nas mangueiras hidráulicas,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
PRE,N,S,1,NISHI,131,6,Verificar vazamentos nas conexões pneumáticas,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
