ID_CLIENTE,ID_OS,SQ_EVENTO,DT_ABRE,DT_FECHA,LS_USUARIO,TP_EVENTO,DS_EVENTO
1,91,2,2018-01-11T08:13:00,2018-01-11T08:13:00,Pauloe,AAT,Realizado a pintura do poço conforme solicitado
1,35,3,2018-01-11T09:49:00,,sigrid,FIA,Atendimento Finalizado
1,205,3,2018-02-20T15:22:00,,lcosta,FIA,Atendimento Finalizado
1,136,4,2018-02-21T08:53:00,,sigrid,FOS,Ordem de Serviço Fechada
1,143,3,2018-01-23T08:23:00,,sigrid,FIA,Atendimento Finalizado
1,138,2,2018-01-23T08:25:00,2018-01-23T09:25:00,leoney,AAT,realizado a troca da engrenagem
1,134,3,2018-01-23T08:27:00,,sigrid,FIA,Atendimento Finalizado
1,133,4,2018-02-21T08:52:00,,sigrid,FOS,Ordem de Serviço Fechada
1,206,1,2018-02-21T08:56:38,,sigrid,AOS,Abertura de Ordem de Serviço
1,206,4,2018-02-21T09:01:00,2018-02-21T09:08:00,sigrid,FOS,Ordem de Serviço Fechada
1,209,2,2018-02-22T15:32:00,2018-02-22T15:50:00,jsilva,AAT,realizado a calibração no transdutor
1,208,3,2018-02-22T07:34:00,,sigrid,FIA,Atendimento Finalizado
1,208,4,2018-02-22T09:40:00,,sigrid,FOS,Ordem de Serviço Fechada
1,210,2,2018-02-06T15:37:00,2018-02-06T16:00:00,josea,AAT,realizada conforme PMP
1,211,2,2018-01-22T15:42:00,2018-01-22T16:00:00,leoney,AAT,"Verificação do nivel de agua destilada;
Acompanhamento do ciclo de carga e descarga durante o turno."
1,222,1,2018-02-24T09:59:34,,wilde,AOS,Abertura de Ordem de Serviço
1,3,3,2017-12-28T10:31:00,,sigrid,FIA,Atendimento Finalizado
1,4,1,2017-12-28T10:46:44,,sigrid,AOS,Abertura de Ordem de Serviço
1,6,1,2017-12-28T10:53:47,,sigrid,AOS,Abertura de Ordem de Serviço
1,140,2,2018-01-23T08:24:00,2018-01-23T09:00:00,leoney,AAT,Realizado a limpeza conforme solicitado
1,133,3,2018-01-23T08:29:00,,sigrid,FIA,Atendimento Finalizado
1,121,2,2018-01-16T08:29:00,2018-01-16T09:45:00,luiscarlos:jsilva,AAT,Realizado a reafiação
1,121,3,2018-01-23T08:31:00,,sigrid,FIA,Atendimento Finalizado
1,21,1,2017-12-29T07:42:58,,sigrid,AOS,Abertura de Ordem de Serviço
1,198,1,2018-01-23T13:33:03,,sigrid,AOS,Abertura de Ordem de Serviço
1,192,3,2018-02-08T11:00:00,,sigrid,FIA,Atendimento Finalizado
1,199,2,2018-02-08T11:01:00,2018-02-08T11:22:00,Pauloe,AAT,tomada realizado a troca
1,198,3,2018-02-08T11:03:00,,sigrid,FIA,Atendimento Finalizado
1,179,4,2018-02-08T11:07:00,,sigrid,FIA,Atendimento Finalizado
1,35,1,2017-12-29T07:44:45,,sigrid,AOS,Abertura de Ordem de Serviço
1,179,5,2018-02-08T11:07:00,,sigrid,FOS,Ordem de Serviço Fechada
1,170,4,2018-02-08T11:15:00,,sigrid,FOS,Ordem de Serviço Fechada
1,8,5,2018-02-08T11:16:00,,sigrid,FOS,Ordem de Serviço Fechada
1,58,1,2017-12-29T08:36:11,,sigrid,AOS,Abertura de Ordem de Serviço
1,35,4,2018-02-08T11:20:00,,sigrid,FOS,Ordem de Serviço Fechada
1,62,1,2017-12-29T08:37:35,,sigrid,AOS,Abertura de Ordem de Serviço
1,63,1,2017-12-29T08:37:35,,sigrid,AOS,Abertura de Ordem de Serviço
1,58,3,2018-02-08T11:24:00,2018-02-08T11:44:00,Pauloe,AAT,realizado  a troca
1,58,5,2018-02-08T11:28:00,,sigrid,FOS,Ordem de Serviço Fechada
1,140,4,2018-02-08T11:33:00,,sigrid,FOS,Ordem de Serviço Fechada
1,143,4,2018-02-08T11:33:00,,sigrid,FOS,Ordem de Serviço Fechada
1,215,1,2018-02-23T16:34:41,,patricia,AOS,Abertura de Ordem de Serviço
1,77,1,2017-12-29T08:40:14,,sigrid,AOS,Abertura de Ordem de Serviço
1,216,1,2018-02-24T09:20:17,,wilde,AOS,Abertura de Ordem de Serviço
1,235,1,2018-02-24T14:09:38,,wilde,AOS,Abertura de Ordem de Serviço
1,236,1,2018-02-24T14:10:23,,wilde,AOS,Abertura de Ordem de Serviço
1,248,1,2018-03-01T14:40:07,,SISTEMA,AOS,Abertura de Ordem de Serviço
1,97,1,2017-12-29T08:43:46,,sigrid,AOS,Abertura de Ordem de Serviço
1,121,1,2018-01-02T08:53:27,,sigrid,AOS,Abertura de Ordem de Serviço
1,137,1,2018-01-02T09:43:18,,sigrid,AOS,Abertura de Ordem de Serviço
1,101,4,2018-01-10T10:56:00,,sigrid,FOS,Ordem de Serviço Fechada
1,97,2,2018-01-11T08:09:00,2018-01-11T08:09:00,Pauloe,AAT,Realizado reparo  no telhado conforme solicitado
1,97,4,2018-01-11T08:11:00,,sigrid,FOS,Ordem de Serviço Fechada
1,91,3,2018-01-11T08:15:00,,sigrid,FIA,Atendimento Finalizado
1,91,4,2018-01-11T08:15:00,,sigrid,FOS,Ordem de Serviço Fechada
1,62,4,2018-01-11T08:19:00,,sigrid,FIA,Atendimento Finalizado
1,52,2,2018-01-11T08:38:00,2018-01-11T08:38:00,Pauloe,AAT,Realizado conforme solicitado 
1,52,3,2018-01-11T08:43:00,,sigrid,FIA,Atendimento Finalizado
1,24,2,2018-01-11T08:45:00,2018-02-08T11:23:00,Pauloe,AAT,"Será transferido as prateleiras para o restaurante.
realizado a troca"
1,21,2,2018-01-11T08:53:00,2018-01-11T08:53:00,Pauloe,AAT,Serviço foi realizado  conforme solicitado.
1,21,4,2018-01-11T08:55:00,,sigrid,FOS,Ordem de Serviço Fechada
1,7,2,2018-01-11T09:08:00,2018-01-11T09:08:00,Pauloe,AAT,Serviço concluído conforme solicitado
1,7,3,2018-01-11T09:09:00,,sigrid,FIA,Atendimento Finalizado
